anchorTs,anchorDtUtc,episodes,meanSimilarity,bestThr,bestExpectedOverall,bestCoverage,avgSuggested,avgSuggestedIfConf
1757534803854,2025-09-10 20:06,200,0.9366605,0.9236,6.1511545000000005,1.0,6.1511545000000005,6.1511545000000005
1757569479439,2025-09-11 05:44,200,0.9796385000000001,0.9756,6.738428000000002,1.0,6.738428000000002,6.738428000000002
1757604155025,2025-09-11 15:22,200,0.9722910000000001,0.9677,5.6946075,1.0,5.6946075,5.6946075
1757638830610,2025-09-12 01:00,200,0.9286365,0.9191,10.0697805,1.0,10.0697805,10.0697805
1757673506195,2025-09-12 10:38,200,0.9598405,0.9544,6.5852604999999995,1.0,6.5852604999999995,6.5852604999999995
1757708181781,2025-09-12 20:16,200,0.9497485,0.9412,8.4888365,1.0,8.4888365,8.4888365
1757742857366,2025-09-13 05:54,200,0.9375630000000001,0.9273,7.186651,1.0,7.186651,7.186651
1757777532951,2025-09-13 15:32,200,0.916358,0.9048,5.1162105,1.0,5.1162105,5.1162105
1757812208536,2025-09-14 01:10,200,0.8977295,0.8827,4.516824000000001,1.0,4.516824000000001,1.330052
1757846884122,2025-09-14 10:48,200,0.8251255000000001,0.8086,7.214328,1.0,7.214328,0.0
1757881559707,2025-09-14 20:25,200,0.8359205,0.8215,6.938649000000001,1.0,6.938649000000001,0.0
1757916235292,2025-09-15 06:03,200,0.7841229999999999,0.7606,5.1990295,1.0,5.1990295,0.0
1757950910878,2025-09-15 15:41,200,0.8805160000000001,0.8689,8.9800315,1.0,8.9800315,0.1808895
1757985586463,2025-09-16 01:19,200,0.8495465,0.8352,5.091794999999999,1.0,5.091794999999999,0.018244
1758020262048,2025-09-16 10:57,200,0.8385900000000001,0.822,5.2968245000000005,1.0,5.2968245000000005,0.0
1758054937633,2025-09-16 20:35,200,0.8902205000000001,0.8758,6.7304515,1.0,6.7304515,1.0042215
1758089613219,2025-09-17 06:13,200,0.9601925,0.9551,8.105103,1.0,8.105103,8.105103
1758124288804,2025-09-17 15:51,200,0.9375399999999999,0.9291,5.688165000000001,1.0,5.688165000000001,5.688165000000001
1758158964389,2025-09-18 01:29,200,0.8917585,0.8742,5.617625500000002,1.0,5.617625500000002,1.3470260000000003
1758193639975,2025-09-18 11:07,200,0.9059535,0.8897,5.6817079999999995,1.0,5.6817079999999995,2.7923065000000005
1758228315560,2025-09-18 20:45,200,0.9373715,0.9257,5.5379130000000005,1.0,5.5379130000000005,5.5379130000000005
1758262991145,2025-09-19 06:23,200,0.9529759999999999,0.9465,5.457903000000001,1.0,5.457903000000001,5.457903000000001
1758297666730,2025-09-19 16:01,200,0.9404300000000001,0.9333,12.5433785,1.0,12.5433785,12.5433785
1758332342316,2025-09-20 01:39,200,0.974145,0.9701,13.038618,1.0,13.038618,13.038618
1758367017901,2025-09-20 11:16,200,0.9714489999999999,0.9671,7.092770000000001,1.0,7.092770000000001,7.092770000000001
1758401693486,2025-09-20 20:54,200,0.9399064999999999,0.9312,6.851032,1.0,6.851032,6.851032
1758436369072,2025-09-21 06:32,200,0.8289360000000001,0.8074,6.050976499999999,1.0,6.050976499999999,0.0
1758471044657,2025-09-21 16:10,200,0.8549965,0.8409,7.368532,1.0,7.368532,0.012610999999999999
1758505720242,2025-09-22 01:48,200,0.928395,0.9136,11.0712285,1.0,11.0712285,11.0712285
1758540395827,2025-09-22 11:26,200,0.9744974999999999,0.9687,12.864322999999999,1.0,12.864322999999999,12.864322999999999
1758575071413,2025-09-22 21:04,200,0.9796009999999999,0.9754,8.7762265,1.0,8.7762265,8.7762265
1758609746998,2025-09-23 06:42,200,0.9717034999999999,0.9662,5.8197915,1.0,5.8197915,5.8197915
1758644422583,2025-09-23 16:20,200,0.9166184999999999,0.9002,4.751657,1.0,4.751657,4.751657
1758679098169,2025-09-24 01:58,200,0.8516555,0.8345,7.078029999999999,1.0,7.078029999999999,0.0
1758713773754,2025-09-24 11:36,200,0.84619,0.8231,4.7169695,1.0,4.7169695,0.0875265
1758748449339,2025-09-24 21:14,200,0.9275999999999999,0.9153,5.7787,1.0,5.7787,5.7787
1758783124924,2025-09-25 06:52,200,0.907251,0.8922,6.9176035,1.0,6.9176035,4.775675000000001
1758817800510,2025-09-25 16:30,200,0.9468344999999999,0.9374,8.119078,1.0,8.119078,8.119078
1758852476095,2025-09-26 02:07,200,0.973904,0.9687,11.346036999999999,1.0,11.346036999999999,11.346036999999999
1758887151680,2025-09-26 11:45,200,0.9717834999999999,0.9655,8.1483565,1.0,8.1483565,8.1483565
1758921827266,2025-09-26 21:23,200,0.958819,0.9485,4.9131905,1.0,4.9131905,4.9131905
1758956502851,2025-09-27 07:01,200,0.7472014999999999,0.7105,5.0397110000000005,1.0,5.0397110000000005,0.0
1758991178436,2025-09-27 16:39,200,0.726472,0.7061,6.928540000000001,1.0,6.928540000000001,0.0
1759025854021,2025-09-28 02:17,200,0.7389085,0.7167,4.940471,1.0,4.940471,0.0
1759060529607,2025-09-28 11:55,200,0.7807065,0.76,5.357183,1.0,5.357183,0.0
1759095205192,2025-09-28 21:33,200,0.9627015,0.9544,10.332278,1.0,10.332278,10.332278
1759129880777,2025-09-29 07:11,200,0.981103,0.9772,8.2838925,1.0,8.2838925,8.2838925
1759164556363,2025-09-29 16:49,200,0.977097,0.9715,11.282479499999999,1.0,11.282479499999999,11.282479499999999
1759199231948,2025-09-30 02:27,200,0.9768355,0.9719,7.852656,1.0,7.852656,7.852656
1759233907533,2025-09-30 12:05,200,0.9584010000000001,0.9522,6.066898999999999,1.0,6.066898999999999,6.066898999999999
1759268583118,2025-09-30 21:43,200,0.9166319999999999,0.9036,5.124345,1.0,5.124345,5.124345
1759303258704,2025-10-01 07:20,200,0.888371,0.8668,4.769944,1.0,4.769944,0.779587
1759337934289,2025-10-01 16:58,200,0.9637809999999999,0.9576,6.9139895000000005,1.0,6.9139895000000005,6.9139895000000005
1759372609874,2025-10-02 02:36,200,0.9801375000000001,0.9763,9.140342,1.0,9.140342,9.140342
1759407285459,2025-10-02 12:14,200,0.9801325,0.9758,7.7417945,1.0,7.7417945,7.7417945
1759441961045,2025-10-02 21:52,200,0.9629765,0.9579,9.2349315,1.0,9.2349315,9.2349315
1759476636630,2025-10-03 07:30,200,0.9672660000000001,0.9624,6.4780584999999995,1.0,6.4780584999999995,6.4780584999999995
1759511312215,2025-10-03 17:08,200,0.949963,0.9409,9.087654,1.0,9.087654,9.087654
1759545987801,2025-10-04 02:46,200,0.96244,0.9564,7.546106999999999,1.0,7.546106999999999,7.546106999999999
1759580663386,2025-10-04 12:24,200,0.975687,0.9701,5.353210000000001,1.0,5.353210000000001,5.353210000000001
1759615338971,2025-10-04 22:02,200,0.95125,0.94,4.4285515,1.0,4.4285515,4.4285515
1759650014556,2025-10-05 07:40,200,0.9535509999999999,0.942,7.272394499999999,1.0,7.272394499999999,7.272394499999999
1759684690142,2025-10-05 17:18,200,0.9171575,0.9059,5.397413,1.0,5.397413,5.397413
1759719365727,2025-10-06 02:56,200,0.9044500000000001,0.8897,5.496506500000001,1.0,5.496506500000001,3.0723154999999998
1759754041312,2025-10-06 12:34,200,0.8472515,0.8224,5.4807325,1.0,5.4807325,0.100322
1759788716898,2025-10-06 22:11,200,0.9417205,0.9351,6.618995999999999,1.0,6.618995999999999,6.618995999999999
1759823392483,2025-10-07 07:49,200,0.9401160000000002,0.9316,7.03683,1.0,7.03683,7.03683
1759858068068,2025-10-07 17:27,200,0.9180809999999999,0.9033,9.227874,1.0,9.227874,9.227874
1759892743653,2025-10-08 03:05,200,0.97,0.9649,9.516375,1.0,9.516375,9.516375
1759927419239,2025-10-08 12:43,200,0.961235,0.9552,5.939744000000001,1.0,5.939744000000001,5.939744000000001
1759962094824,2025-10-08 22:21,200,0.9114735,0.8947,5.239428,1.0,5.239428,3.922706
1759996770409,2025-10-09 07:59,200,0.8979980000000001,0.8855,7.06489,1.0,7.06489,2.3126695
1760031445995,2025-10-09 17:37,200,0.8587585,0.8415,8.179116,1.0,8.179116,0.0790385
1760066121580,2025-10-10 03:15,200,0.9052095,0.8948,8.382505000000002,1.0,8.382505000000002,5.328274
1760100797165,2025-10-10 12:53,200,0.888134,0.8757,6.443904,1.0,6.443904,0.7168005
1760135472750,2025-10-10 22:31,200,0.9612774999999999,0.9526,11.334455,1.0,11.334455,11.334455
1760170148336,2025-10-11 08:09,200,0.9832519999999999,0.9792,12.032607,1.0,12.032607,12.032607
1760204823921,2025-10-11 17:47,200,0.9831459999999999,0.9788,7.286292499999999,1.0,7.286292499999999,7.286292499999999
1760239499506,2025-10-12 03:24,200,0.96532,0.9583,5.038191,1.0,5.038191,5.038191
1760274175092,2025-10-12 13:02,200,0.8637035000000001,0.851,6.0603835,1.0,6.0603835,0.048805999999999995
1760308850677,2025-10-12 22:40,200,0.9420545,0.9329,6.7483130000000005,1.0,6.7483130000000005,6.7483130000000005
1760343526262,2025-10-13 08:18,200,0.9756794999999999,0.9717,7.184892,1.0,7.184892,7.184892
1760378201847,2025-10-13 17:56,200,0.9725714999999999,0.9681,4.7462245,1.0,4.7462245,4.7462245
1760412877433,2025-10-14 03:34,200,0.909095,0.897,5.949552,1.0,5.949552,5.148442
1760447553018,2025-10-14 13:12,200,0.9689365000000001,0.9628,11.094645,1.0,11.094645,11.094645
1760482228603,2025-10-14 22:50,200,0.9531399999999999,0.9473,8.109944500000001,1.0,8.109944500000001,8.109944500000001
1760516904189,2025-10-15 08:28,200,0.9454255,0.9367,5.942204,1.0,5.942204,5.942204
1760551579774,2025-10-15 18:06,200,0.8630625000000001,0.8443,7.2078195,1.0,7.2078195,0.23285899999999998
1760586255359,2025-10-16 03:44,200,0.9281489999999999,0.9176,6.7595624999999995,1.0,6.7595624999999995,6.7595624999999995
1760620930944,2025-10-16 13:22,200,0.950647,0.9448,6.666596500000001,1.0,6.666596500000001,6.666596500000001
1760655606530,2025-10-16 23:00,200,0.9557625000000001,0.9485,8.799272,1.0,8.799272,8.799272
1760690282115,2025-10-17 08:38,200,0.9540704999999999,0.9451,12.162413999999998,1.0,12.162413999999998,12.162413999999998
1760724957700,2025-10-17 18:15,200,0.9640485000000001,0.957,9.0006075,1.0,9.0006075,9.0006075
1760759633286,2025-10-18 03:53,200,0.937731,0.9276,6.969759000000002,1.0,6.969759000000002,6.969759000000002
1760794308871,2025-10-18 13:31,200,0.9106165,0.8927,4.2146565,1.0,4.2146565,2.9262105
1760828984456,2025-10-18 23:09,199,0.9442703517587938,0.937,4.808247236180905,1.0,4.808247236180905,4.808247236180905
1760863660041,2025-10-19 08:47,200,0.756853,0.7419,5.7810035,1.0,5.7810035,0.0
1760898335627,2025-10-19 18:25,200,0.9556275,0.9484,10.8018785,1.0,10.8018785,10.8018785
1760933011212,2025-10-20 04:03,200,0.9557680000000001,0.9503,9.851875499999998,1.0,9.851875499999998,9.851875499999998
1760967686797,2025-10-20 13:41,200,0.9727020000000001,0.9673,7.247243500000001,1.0,7.247243500000001,7.247243500000001
1761002362383,2025-10-20 23:19,200,0.9666775,0.961,5.401541,1.0,5.401541,5.401541
1761037037968,2025-10-21 08:57,200,0.9333480000000001,0.915,6.562622,1.0,6.562622,6.562622
